pallets,algorithm,timelimit_ms,avg_time_per_test_ms,pallet_length,pallet_width,score_normalization_height,available_rotations,score_percolation_mult,score_min_support_ratio_mult,score_center_of_mass_z_mult,score_height_balance_mult,pallets_computed_min,pallets_computed_ci_low,pallets_computed_avg,pallets_computed_ci_high,pallets_computed_max,percolation_min,percolation_ci_low,percolation_avg,percolation_ci_high,percolation_max,min_support_ratio_min,min_support_ratio_ci_low,min_support_ratio_avg,min_support_ratio_ci_high,min_support_ratio_max,height_min,height_ci_low,height_avg,height_ci_high,height_max,com_z_rel_min,com_z_rel_ci_low,com_z_rel_avg,com_z_rel_ci_high,com_z_rel_max,height_balance_min,height_balance_ci_low,height_balance_avg,height_balance_ci_high,height_balance_max
multi,LNSSolver,10000,10017.0,1200,800,2200,2,1.0,1.0,0.0,0.0,176.0000,492.0000,1181.3670,2361.0000,5753.0000,0.4389,0.6053,0.6479,0.6938,0.7528,0.2045,0.2867,0.4290,0.5614,0.8473,1105.0,1817.0,3100.2,4780.0,8583.0,0.3297,0.3634,0.4184,0.4744,0.5217,0.6109,0.7526,0.8516,0.9495,0.9997

one,LNSSolver,10000,10008.0,1200,800,2200,2,1.0,1.5,0.0,0.0,66.0000,292.0000,2130.3417,7300.0000,42795.0000,0.4032,0.5573,0.6595,0.7684,0.8942,0.2658,0.4826,0.6473,0.9402,1.0000,412.0,897.0,2631.6,5387.0,9572.0,0.3461,0.4302,0.4902,0.5527,0.5852,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10016.6,1200,800,2200,2,1.0,1.5,0.0,0.0,179.0000,486.0000,1182.3073,2324.0000,4903.0000,0.3540,0.5927,0.6395,0.6860,0.7454,0.2324,0.2881,0.4534,0.6159,0.7640,1152.0,1850.0,3166.4,4823.0,10514.0,0.2874,0.3601,0.4169,0.4783,0.5357,0.5720,0.7432,0.8483,0.9519,0.9984

one,LNSSolver,10000,10008.8,1200,800,2200,2,1.0,2.0,0.0,0.0,64.0000,277.0000,2143.8647,7154.0000,40859.0000,0.4115,0.5415,0.6470,0.7506,0.8942,0.2658,0.4929,0.6660,0.9564,1.0000,412.0,916.0,2684.8,5390.0,9602.0,0.3461,0.4277,0.4870,0.5496,0.5815,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10016.5,1200,800,2200,2,1.0,2.0,0.0,0.0,172.0000,497.0000,1185.9289,2260.0000,5599.0000,0.3540,0.5855,0.6349,0.6833,0.7225,0.2561,0.2923,0.4629,0.6414,0.7952,1202.0,1849.0,3194.3,4823.0,10514.0,0.2909,0.3570,0.4138,0.4738,0.5183,0.5837,0.7418,0.8466,0.9525,0.9982


one,LNSSolver,10000,10010.2,1200,800,2200,2,1.0,2.5,0.0,0.0,60.0000,287.0000,2164.7523,7176.0000,40929.0000,0.1750,0.5278,0.6380,0.7533,0.8942,0.2750,0.4932,0.6757,0.9822,1.0000,412.0,909.0,2763.0,5596.0,21780.0,0.3415,0.4262,0.4869,0.5468,0.5824,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10016.6,1200,800,2200,2,1.0,2.5,0.0,0.0,176.0000,495.0000,1189.7087,2333.0000,5320.0000,0.3540,0.5745,0.6295,0.6765,0.7477,0.2596,0.2997,0.4713,0.6518,0.7803,1267.0,1829.0,3224.8,4882.0,10514.0,0.2338,0.3512,0.4134,0.4761,0.5192,0.5739,0.7401,0.8449,0.9432,0.9973

one,LNSSolver,10000,10007.9,1200,800,2200,2,1.0,3.0,0.0,0.0,64.0000,286.0000,2195.6858,7196.0000,42466.0000,0.3796,0.5331,0.6378,0.7579,0.8287,0.2750,0.4999,0.6790,0.9839,1.0000,412.0,930.0,2723.5,5437.0,9870.0,0.3461,0.4262,0.4845,0.5474,0.5732,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10015.8,1200,800,2200,2,1.0,3.0,0.0,0.0,182.0000,499.0000,1203.1284,2350.0000,5531.0000,0.3411,0.5637,0.6263,0.6778,0.7257,0.2534,0.2988,0.4738,0.6526,0.7807,1144.0,1892.0,3251.5,5065.0,10642.0,0.2269,0.3532,0.4125,0.4776,0.5249,0.5837,0.7433,0.8440,0.9481,0.9986

one,LNSSolver,10000,10007.9,1200,800,2200,2,1.0,5.0,0.0,0.0,61.0000,278.0000,2202.1399,7315.0000,42976.0000,0.3722,0.5109,0.6259,0.7339,0.8449,0.2764,0.5250,0.6895,0.9901,1.0000,412.0,940.0,2781.2,5546.0,9800.0,0.3461,0.4239,0.4857,0.5529,0.5798,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,10000,10016.5,1200,800,2200,2,1.0,5.0,0.0,0.0,176.0000,495.0000,1211.8578,2386.0000,5690.0000,0.3411,0.5600,0.6202,0.6672,0.7282,0.2592,0.3010,0.4836,0.6681,0.8013,1235.0,1898.0,3278.0,4936.0,10642.0,0.2634,0.3512,0.4112,0.4699,0.5398,0.5911,0.7443,0.8437,0.9441,1.0000

